0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.15727138992227274,-0.17772775581811062,-0.20081532116927037,-0.2268550116020368,-0.2561981558404397,-0.28922519372635014,-0.32634211439974137,-0.36797365350278444,-0.4145520162006755,-0.466499812488691,-0.5242058666485833,-0.5879931657184673,-0.6580792650315137,-0.7345321137798705,-0.8172282078011295,-0.9058261433553039,-0.9997762096125073,-1.0983947739580835,-1.2010380855944358,-1.3074126655710727,-1.418057792856281,-1.5350430753578004,-1.6629644898117968,-1.8104522273176105,-1.8841960960705173
-0.14683727506514255,-0.16594672010207812,-0.18752057457691873,-0.2118627503497006,-0.23930757134085767,-0.27021941660370086,-0.30499054555319094,-0.3440362506997391,-0.3877862439769786,-0.4366710152288594,-0.4911017705391152,-0.5514428643769331,-0.6179762453723842,-0.6908593173231642,-0.7700806046604003,-0.8554226480787741,-0.9464483382942507,-1.0425350003028855,-1.1429878512040248,-1.2472693888253228,-1.3553807293186781,-1.4684322090466106,-1.589456966276176,-1.7245916888433133,-1.7921590501268818
-0.13639897181000893,-0.15415809343483633,-0.17421289280744878,-0.19684932225191853,-0.22238334503929258,-0.2511613601333007,-0.28355921962362196,-0.3199791052465706,-0.36084332381144946,-0.4065838598512228,-0.4576263307715295,-0.514367074334296,-0.5771423570306328,-0.6461899229089296,-0.7216052097565956,-0.8032984268820959,-0.8909643884272289,-0.9840844820708655,-1.0819881099611295,-1.1840079166440476,-1.2897651558626655,-1.3996216779582848,-1.5153385146385034,-1.6410131474051348,-1.7038504637884504
-0.1259572137948889,-0.14236301401175655,-0.16089399550579253,-0.1818172732869855,-0.2054291830337951,-0.23205633629020117,-0.26205563326702486,-0.2958126201824257,-0.33373741025016224,-0.37625713956031537,-0.42380371060491695,-0.47679550742916743,-0.5356117751050216,-0.6005590628879315,-0.6718304778618206,-0.7494612495163061,-0.8332885647963584,-0.922930025697527,-1.017802845490401,-1.117214076125611,-1.2205570036240843,-1.3276508141225218,-1.439259528972514,-1.5578363245949856,-1.6171247224062184
-0.11551274059176664,-0.1305626312831265,-0.14756562319273303,-0.16676918763900983,-0.18844886071108236,-0.2129097817947262,-0.2404875061768702,-0.27154759430524644,-0.30648335377846947,-0.3457108578389517,-0.3896601489208035,-0.43876137310660535,-0.49342443872424646,-0.5540111044392032,-0.6207991382952027,-0.6939399617832381,-0.7734143980046931,-0.8589961550459768,-0.9502395206736264,-1.0465160542151464,-1.1471319987616801,-1.2515630331428274,-1.3598426964197885,-1.473141335054251,-1.5297906543714794
-0.10506629757318642,-0.11875810561453037,-0.13422953651456848,-0.15170768616632468,-0.17144621978567864,-0.19372725263312462,-0.2188627713497815,-0.24719520562351271,-0.27909667417918005,-0.31496618874368165,-0.35522390826892014,-0.4003013278658041,-0.45062604889749835,-0.5065998175918685,-0.568568803885508,-0.6367860695024624,-0.711368238074081,-0.792251932965915,-0.8791609816017704,-0.9716028224035445,-1.0689203244898915,-1.1704325854354158,-1.2757013261986416,-1.3849588347623343,-1.4395875890441805
-0.09461863577745755,-0.10695060794114752,-0.12088751547423282,-0.13663542482050817,-0.15442516521557148,-0.17451441828230385,-0.19718956466188153,-0.22276699323997284,-0.25159353040427046,-0.284045429630464,-0.32052520692297526,-0.36145539204809063,-0.4072680024712533,-0.4583884252647774,-0.5152123791916874,-0.5780750217964065,-0.6472123944072455,-0.7227176046359973,-0.8044979682165776,-0.892245178955961,-0.9854378431000149,-1.0834040797675526,-1.1854782773049355,-1.2912885542812502,-1.3441936927694047
-0.08417051177245782,-0.09514131941606996,-0.10754135864441405,-0.12155509301756962,-0.1373896619985132,-0.1552770556480232,-0.17547621377584088,-0.1982748377058252,-0.22399068701926816,-0.2529719463566338,-0.28559613479620105,-0.3222668329515843,-0.3634072582609227,-0.40944952284395486,-0.4608182330761046,-0.5179071058746654,-0.5810477234902633,-0.6504706652892961,-0.7262615538843942,-0.8083185084926309,-0.8963232330696957,-0.9897456460810583,-1.0879099851013152,-1.1901564783438345,-1.2412797249650969
-0.07372268751795474,-0.08333143105277996,-0.09419288236326984,-0.10646941196293391,-0.12034373185337566,-0.1360210427272135,-0.153731226402537,-0.17373093989429822,-0.19630547730927206,-0.22177011108441835,-0.250470553272103,-0.2827820137630471,-0.3191061325702904,-0.35986485713321026,-0.40549010451013945,-0.45640786873138994,-0.5130154572623419,-0.5756508977269259,-0.6445546365734245,-0.7198258360378823,-0.8013793163125643,-0.8889149121109302,-0.9819184581039059,-1.0797215028839513,-1.1286230252739768
-0.06327593022664446,-0.07152214336201557,-0.08084391991339812,-0.09138113293214178,-0.10329144979126237,-0.11675235200624412,-0.1319632779447466,-0.14914779845305592,-0.168555763164982,-0.19046523289337203,-0.21518397922278276,-0.24305020834949342,-0.27443202263940647,-0.30972495745790196,-0.349346716236687,-0.3937279898861279,-0.4432980699971195,-0.4984638943572872,-0.5595814391235354,-0.6269192164333526,-0.7006155156235261,-0.7806343460332793,-0.8667302780509922,-0.9584392873946024,-1.0042937920664101
-0.05283101222379183,-0.059714665983179316,-0.0674963206845347,-0.07629303550896749,-0.0862369405815383,-0.097477043608038,-0.11018119855360498,-0.1245381859051542,-0.1407598918967412,-0.1590834814913511,-0.17977345371174847,-0.2031233825415868,-0.22945705804398586,-0.25912861521885655,-0.29252107858748766,-0.3300425439046434,-0.372119002557178,-0.41918258591203683,-0.4716538829541206,-0.5299170459016012,-0.59428696499009,-0.6649690900734334,-0.7420150976010453,-0.8252818136489426,-0.8669151716728898
-0.04238871080561313,-0.04791021731044287,-0.05415194932082146,-0.0612079257831466,-0.06918437511827247,-0.07820125820210411,-0.08839395963227137,-0.09991512347817533,-0.11293665015379706,-0.1276518043961089,-0.14427739610579082,-0.16305594315380312,-0.18425768166758227,-0.20818221218928956,-0.23515947518033264,-0.2655496118859513,-0.2997411015585344,-0.33814635408718485,-0.3811937175566493,-0.4293146341461551,-0.48292459967557433,-0.5423967011255304,-0.6080271968491285,-0.6799941325096148,-0.7159776003398566
-0.03194980809642367,-0.03611002411383624,-0.040812684853261394,-0.046128634509717825,-0.052137966692891724,-0.058931209692716924,-0.06661065982422609,-0.07529185475123601,-0.08510521515392722,-0.09619783804016291,-0.10873544454601536,-0.12290445660730065,-0.13891416353447594,-0.1569989021865309,-0.1774201330754288,-0.20046822679942178,-0.22646368715991128,-0.25575741341014313,-0.28872944949673574,-0.3257854631035645,-0.3673499891699544,-0.4138552322401151,-0.4657240833396997,-0.5233460620692909,-0.5521570514340851
-0.02151509090443926,-0.02431532115537982,-0.027480419818035062,-0.031058015232152125,-0.03510196717923242,-0.03967317770121326,-0.044840510526827915,-0.05068181821815676,-0.05728510345564264,-0.0647498133284713,-0.07318828394752286,-0.08272733963339274,-0.09351005247148769,-0.1056976552664679,-0.11947159177619904,-0.1350356673229164,-0.15261823461522883,-0.17247430730267244,-0.19488743467404868,-0.22017108437926425,-0.24866917115338172,-0.28075521374730517,-0.3168294176065817,-0.35731276717815286,-0.37755444196393706
-0.01108535057660065,-0.01252735080060352,-0.01415705936151368,-0.015998942371642233,-0.018080663137337583,-0.020433499859692783,-0.023092820973683037,-0.02609861887443443,-0.02949611753022552,-0.03333645625174242,-0.03767746290450069,-0.04258452512129196,-0.048131572201820516,-0.05440217808676817,-0.061490797617572146,-0.06950414693070728,-0.07856273689831883,-0.08880256508232709,-0.1003769651611558,-0.11345860248971051,-0.1282415884603677,-0.14494366179643725,-0.1638083489131359,-0.18510696474747235,-0.19575627266464335
-0.0006613828520463105,-0.000747362625583281,-0.0008445203326185036,-0.0009543092848895984,-0.0010783718428719613,-0.001218563933988448,-0.0013769829320775528,-0.0015559989428676202,-0.0017582904141277833,-0.0019868842241033136,-0.002245201067999081,-0.0025371067150864457,-0.0028669700004591014,-0.0032397283552865197,-0.0036609619002342386,-0.004136977222496396,-0.004674902097270839,-0.005282792601032926,-0.005969754233839386,-0.006746078913849596,-0.00762339990633687,-0.008614867076062183,-0.009735345133229933,-0.011001637888524707,-0.011634784266173481
0.009756012285402904,0.01102338698031613,0.012455269636538202,0.014072973707204839,0.01590056275097007,0.017965200205186105,0.020297544935926615,0.02293219213945763,0.025908171257138513,0.02926950112611959,0.03306581126710506,0.03735303375500265,0.04219417260062641,0.04766015489008901,0.05383076812583709,0.060795685576806036,0.06865557807026468,0.07752330540544694,0.0875251724883841,0.09880222303352282,0.11151152653405827,0.12582738807978833,0.14194237430264212,0.1600679981671821,0.16913081009945208
0.020166030755891518,0.02278363521565907,0.02574037306106447,0.029079981317303716,0.032851774111733456,0.037111328743372196,0.04192125299770644,0.047352028344319064,0.0534829455143937,0.060403123933355785,0.0682126194863436,0.0770236115194084,0.08696165643629905,0.09816698023622783,0.11079576736266195,0.12502137684948234,0.14103538178745767,0.15904827663821008,0.1792896274864786,0.202007338614138,0.2274655824912264,0.25594075576756414,0.2877146006847797,0.3230633586120385,0.3407377375756679
0.03056786453310978,0.034532113272009446,0.039008843543819616,0.04406377531329386,0.049770877278698666,0.05621333219552882,0.06348459680696472,0.07168953815133994,0.08094565428536371,0.09138434601889678,0.1031522148980335,0.11641233199389256,0.13134539718097082,0.1481506647800973,0.16704645542679475,0.18826999026463065,0.21207617533005318,0.2387348109183618,0.26852550953763155,0.3017293452251296,0.33861597910100627,0.3794246545638258,0.4243371713045105,0.47344080364067204,0.4979926198087528
0.04096070179500921,0.046267546742584376,0.052258726725259996,0.05902140656124377,0.06665347305893077,0.0752647037703641,0.08497801343869682,0.09593073598446189,0.10827592324456625,0.12218357991076734,0.13784174681993333,0.15545728677255066,0.1752561616441023,0.19748289822430765,0.22239881537650386,0.25027841309516463,0.2814031138322154,0.31605126884682033,0.35448303967493267,0.3969184164665823,0.44350641379977407,0.4942833990980666,0.5491189833516263,0.6076492200589853,0.6369143384126641
0.05134372707530088,0.05798865603418579,0.06548806124173356,0.07394991708674636,0.08349515226050153,0.09425892780458578,0.1063919379466427,0.1200616538438809,0.1354534419283432,0.1527714020881199,0.17223873439077275,0.19409734737806106,0.21860629565522705,0.2460384810852395,0.27667483980339524,0.3107949684454353,0.3486628468055891,0.390505972873198,0.43648596791343447,0.4866585917468233,0.5409215068998066,0.5989492423697464,0.6601173639559338,0.7234221694600487,0.7550745722121055
0.06171612141601668,0.06969415678234891,0.07869487969127398,0.08884634215204912,0.10029149995495201,0.11318948824529385,0.12771681988640593,0.1440683729895753,0.16245802375648988,0.18311866557101375,0.20630127597825454,0.23227255167203031,0.2613104314482084,0.2936966086084347,0.3297048382171569,0.3695835124352731,0.4135306836236724,0.46165949152401353,0.5139520717211271,0.570200703294725,0.6299367736637224,0.6923515005330158,0.7562178933705879,0.819830756415131,0.8516371879374026
0.07207706252075619,0.08138276026923297,0.09187720960609769,0.10370771234599063,0.117038099760719,0.13204987715846883,0.1489431398469382,0.16793705553096727,0.18926966560059155,0.2131966109797545,0.23998825408267643,0.26992447795441965,0.30328616294328925,0.3403420737143892,0.3813295454428378,0.42642705304201944,0.47571663245382645,0.5291343246426258,0.5864077912592552,0.6469824104963995,0.7099411032192388,0.7739292334740757,0.8371038228445662,0.8971338807028273,0.9271489096319571
0.08242572490891331,0.0930531738441931,0.10503307443083532,0.11853105568397082,0.133730538139476,0.15083360324140427,0.17006142593275764,0.19165397577800003,0.2158686065424409,0.2429769752037264,0.27325953370004874,0.30699660201896073,0.3444546781419089,0.38586636497629223,0.4314019792192231,0.4811307832554873,0.5349701033243295,0.5926216202442338,0.6534964674282523,0.7166349542139905,0.7806329490804759,0.8435950490534916,0.9031422102928982,0.9565042236206855,0.9831852302845792
0.09276128007056073,0.10470410134673092,0.11816049450546207,0.13331339971499045,0.150364408696943,0.16953420031669275,0.1910622701393,0.2152055512092077,0.24223538547205048,0.2724320968461563,0.30607615220712425,0.3434346327705451,0.3847413389588439,0.43016863911713443,0.479789005768029,0.5335244522647414,0.5910831540356792,0.6518847930583271,0.7149802685814762,0.7789777477564666,0.8419947735496841,0.9016640572887937,0.9552235477146134,0.9997139094272092,1.0219590902835072
