0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
-1.3701770463822982,-1.306064571811069,-1.2521923770042243,-1.2059707854998962,-1.1657107459498717,-1.1302511739975012,-1.0987650236491564,-1.0706420883374783,-1.0454206935527148,-1.0227437301599556,-1.0023301956100614,-0.9839545095911062,-0.9674333010101177,-0.9526155063113508,-0.9393750652838914,-0.9276054655949925,-0.9172161842419674,-0.9081286036802299,-0.9002743390557351,-0.893593054805146,-0.8880309776813367,-0.883539624054086,-0.88007470369688,-0.8775958714386338,-0.8760648661508087,-0.8754460926155111,-0.8757056605672341,-0.8768108201803883,-0.8787299598374876,-0.8814321463218269,-0.8848867511107056,-0.8890634110778062,-0.8939318711241386,-0.8994615757624127,-0.9056213338728483,-0.9123800888376151,-0.9197057495552774,-0.9275657451559407,-0.9359265574712561,-0.9447538551398793,-0.9540122782997373,-0.9636654856771676,-0.9736759834926306,-0.984005174324154,-0.9946132452928969,-1.0054591898761205,-1.0165005810415932,-1.0276938742346169,-1.0389944254891896,-1.0503558811258833,-1.0617309287984766,-1.0730712319288627,-1.0843267494431985,-1.0954467146295443,-1.1063795311968716,-1.117072031582933,-1.1274707423798047,-1.1375217177877373,-1.1471697221764554,-1.156359862309314,-1.165037317489842,-1.1731464661266122,-1.1806329145693517,-1.1874430939672387,-1.1935233910730314,-1.19882251668742,-1.2032909709813577,-1.2068802773018972,-1.2095455059300264,-1.2112446739418692,-1.2119382031089532,-1.2115911156771464,-1.2101729644733772,-1.2076575475772233,-1.2040236217178535,-1.1992557206383148,-1.1933443877500616,-1.1862865386959798,-1.1780855175108407,-1.1687512753292606,-1.158301339333534,-1.1467595074659886,-1.1341575913636492,-1.120533751731223,-1.1059332446099135,-1.0904086056127582,-1.0740173210392445,-1.0568236430999356,-1.0388972033520627,-1.020312347076202,-1.001146874118708,-0.9814824434042246,-0.9614029331912688,-0.9409940044975862,-0.9307895401507393
-1.3394054653311032,-1.2760892134475148,-1.2228880026736304,-1.1772538990174246,-1.137524800201764,-1.1025579924369755,-1.0715394203794637,-1.0438684025671718,-1.019090429427613,-0.996853901683975,-0.9768821245963205,-0.958952950223893,-0.9428857721542727,-0.9285317781884433,-0.9157667600246139,-0.9044857424385085,-0.8945994798987056,-0.8860304360860118,-0.8787111374492257,-0.8725820236683529,-0.8675899842532725,-0.8636871059137546,-0.8608295938278928,-0.8589775272749817,-0.8580930282707171,-0.8581408342958592,-0.8590873525219321,-0.8609001039804763,-0.863547720981003,-0.8669994941733292,-0.8712250035125608,-0.876194078404037,-0.881876642676685,-0.888242307755488,-0.895260043032646,-0.9028989297218487,-0.9111270084277936,-0.9199118183991911,-0.9292199369550891,-0.9390171018602802,-0.949267998912355,-0.9599362963378572,-0.9709844754146907,-0.9823738646371927,-0.9940645256338809,-1.0060152615037454,-1.0181833997383454,-1.030525054374526,-1.0429951305397782,-1.0555467606068651,-1.0681319743978261,-1.0807016288233606,-1.093204775198478,-1.1055895506762503,-1.117803072945528,-1.1297907353402359,-1.1414973947671436,-1.1528672041628996,-1.163842812510385,-1.1743669490907938,-1.1843821473096094,-1.1938298607099385,-1.2026525008268951,-1.2107930117786603,-1.2181939550527154,-1.2247999782121821,-1.230557225876966,-1.2354124891284568,-1.2393159557136213,-1.2422205038291945,-1.2440810424571513,-1.2448570440233397,-1.2445124080864123,-1.243015061540892,-1.2403378852429148,-1.236459482024277,-1.2313646903046704,-1.2250448072759101,-1.2174977751379767,-1.2087285247329826,-1.1987498802043417,-1.1875815142019963,-1.1752516232417354,-1.1617954127491115,-1.147255918742529,-1.1316842384963888,-1.1151372185394859,-1.0976793905483562,-1.079381546328384,-1.0603201393864614,-1.0405759386939772,-1.020234515263907,-0.9993844695372345,-0.9781170179971377,-0.9674832922270837
-1.3093402120368913,-1.24683704851469,-1.1943241002798226,-1.149294683866564,-1.1101133103984473,-1.0756553885449827,-1.0451196590128191,-1.0179148047322033,-0.9935933433807637,-0.971809064283452,-0.9522894716584213,-0.9348157507797633,-0.9192099688402233,-0.9053254809317096,-0.8930398528693623,-0.8822495745533676,-0.8728666114934613,-0.8648144474512661,-0.8580264642596271,-0.8524438260810188,-0.8480140395421387,-0.8446897211759743,-0.8424275361906479,-0.841187958104881,-0.8409334671060867,-0.8416291136732572,-0.8432415880535677,-0.8457386732499304,-0.8490892421530613,-0.8532628115907367,-0.858229178187378,-0.8639583780873143,-0.8704205343171422,-0.8775854521459237,-0.8854222951088724,-0.8939003228046506,-0.9029877554871987,-0.9126522983291419,-0.9228606879799456,-0.93357880399315,-0.9447714594411918,-0.9564024235417953,-0.9684342541723484,-0.9808283183070893,-0.9935446759933603,-1.0065420760553028,-1.019777748869255,-1.0332076290515106,-1.046786347111614,-1.0604667115997446,-1.0742002995479254,-1.0879373815811915,-1.1016263382244178,-1.1152144615668296,-1.1286478490794754,-1.1418707399597605,-1.1548266172838773,-1.1674580409314406,-1.1797058731257581,-1.1915107980948414,-1.202813043071388,-1.2135514954339288,-1.2236657228576087,-1.2330955322355952,-1.2417800227946973,-1.2496601182814482,-1.2566779338274825,-1.262775855813686,-1.26789947518135,-1.2719967879125993,-1.2750174299460182,-1.276915507819737,-1.2776493993050808,-1.2771812471022326,-1.2754780891768347,-1.2725125608595511,-1.2682636924443713,-1.2627169855102705,-1.2558647345097151,-1.247706538274973,-1.2382501194015627,-1.2275105810462317,-1.215511974793937,-1.2022859811408382,-1.1878727946271317,-1.1723214000571414,-1.155687331395805,-1.13803469404673,-1.1194347290531925,-1.0999653011394606,-1.0797094844611332,-1.0587561262852208,-1.037197963730252,-1.0151312421846415,-1.0040978814118418
-1.2799646634359618,-1.218289424430824,-1.1664799803210057,-1.1220704107130413,-1.083451510623895,-1.0495165704923815,-1.0194769408772342,-0.9927505175668316,-0.9688967176051694,-0.9475746079637387,-0.928515793659454,-0.9115047050049035,-0.8963660029025489,-0.8829551369618494,-0.871151380644819,-0.8608526282614659,-0.8519720010787615,-0.8444339527261909,-0.8381726751547136,-0.8331300165442673,-0.8292540648670299,-0.8264979353320808,-0.8248187265977632,-0.8241772844051434,-0.8245364295854318,-0.8258615126251118,-0.8281194983739182,-0.8312784278964546,-0.8353074153642255,-0.8401762091397541,-0.8458548326667105,-0.8523135438818054,-0.8595226849859066,-0.8674522804536826,-0.876071718696797,-0.8853504741211743,-0.8952569889778279,-0.9057591831649663,-0.9168240079936482,-0.9284175474330622,-0.9405048118253087,-0.9530497496502796,-0.9660150820486019,-0.9793623105128615,-0.9930515992144686,-1.0070417589425755,-1.0212900496298527,-1.035752365281009,-1.0503832134707096,-1.0651352423969418,-1.0799597536421457,-1.094806623033298,-1.1096237663397372,-1.124357850575755,-1.1389541873307345,-1.1533561133866914,-1.1675060014524397,-1.1813450947488036,-1.1948127644500983,-1.20784795162735,-1.2203888884011027,-1.2323722261333991,-1.243735015139802,-1.254414253841074,-1.2643459231114373,-1.2734675487869551,-1.281717534058746,-1.2890341839952524,-1.2953587804765632,-1.3006347023108544,-1.3048065674033382,-1.307823321261603,-1.3096379787301216,-1.3102070203154126,-1.3094917138460727,-1.307458738124423,-1.3040812620771836,-1.2993388701282749,-1.2932180217998024,-1.2857127309992222,-1.2768252824797433,-1.2665658238089517,-1.254953790046609,-1.2420168205537263,-1.2277916950833245,-1.2123246543665145,-1.19566928188386,-1.1778885776027703,-1.1590535395048063,-1.1392427554935525,-1.1185409419083747,-1.0970395781944475,-1.0748349374704258,-1.0520277446619208,-1.0406241482576795
-1.2512626062626209,-1.1904282251500975,-1.1393356245236352,-1.095559163960963,-1.0575155986844886,-1.0241158671205757,-0.9945837512289557,-0.968346216515259,-0.9449694604027697,-0.9241177258349775,-0.9055266300340287,-0.8889837699305375,-0.8743163301076468,-0.8613817918174421,-0.8500610795563135,-0.8402534410749368,-0.8318731076868119,-0.8248454620003204,-0.819105469841018,-0.8145956315981195,-0.8112645890532801,-0.8090659327012945,-0.8079571752902067,-0.807899519428383,-0.8088561150533843,-0.8107926050003502,-0.8136762248557146,-0.8174752736512587,-0.8221591105487022,-0.8276977229548566,-0.8340613725139171,-0.8412205542988781,-0.8491458489913192,-0.857807523897386,-0.8671752202007936,-0.8772186596612854,-0.8879065437909981,-0.899207049755913,-0.911087391352091,-0.9235139108109371,-0.9364518756422843,-0.949865480418835,-0.9637176833814265,-0.9779702023566039,-0.9925833956977381,-1.0075162353290243,-1.0227261187995094,-1.038169018373805,-1.0537994491451652,-1.0695700394732,-1.0854319688538117,-1.101334884811489,-1.1172264176228353,-1.1330528020047552,-1.1487587702796258,-1.1642869791788883,-1.1795789256578815,-1.1945747841044378,-1.2092127006184394,-1.2234301471064413,-1.2371636451026624,-1.250347913345412,-1.2629177879460496,-1.2748077669904878,-1.2859510375919814,-1.2962820391769658,-1.3057357703663452,-1.3142467714988615,-1.3217523021058775,-1.3281913934407419,-1.3335039107075453,-1.3376338591580716,-1.3405290716254847,-1.3421405173491108,-1.3424238003979294,-1.341339695170718,-1.3388555000220181,-1.334944810562333,-1.3295881175679702,-1.322773651307818,-1.3144979807005908,-1.3047659666791778,-1.2935920124587885,-1.2809992523526215,-1.2670205261187895,-1.2516987424753268,-1.2350849328575775,-1.2172403418413857,-1.1982350540178266,-1.1781477051320155,-1.157063995432983,-1.135077388332828,-1.1122870810486463,-1.0887977096292079,-1.0770530239194998
-1.223218226105216,-1.1632358532013165,-1.1128716597241572,-1.069739806304909,-1.0322826901405513,-0.9994286702581817,-0.9704137886720393,-0.9446739451009933,-0.9217820063968624,-0.901407298126089,-0.8832893696457234,-0.8672189147187426,-0.8530255802545156,-0.8405688249178117,-0.8297311761788245,-0.8204131926572572,-0.8125301781951894,-0.8060084114144661,-0.8007836033839338,-0.7967988821430488,-0.7940034225890708,-0.79235127350267,-0.791800348254952,-0.7923121963490528,-0.7938502900758745,-0.7963805611582538,-0.799870515615056,-0.8042887132269437,-0.8096047640367942,-0.8157889034540005,-0.8228116433735576,-0.8306437312230325,-0.8392560045364595,-0.8486189952539769,-0.8587026224888508,-0.8694768842895406,-0.8809107740847562,-0.8929727632592928,-0.9056303692922235,-0.9188502388337898,-0.9325979476739931,-0.9468379933923118,-0.9615336340880201,-0.9766468734718244,-0.9921383406611292,-1.0079672531850812,-1.024091238262996,-1.0404664481038273,-1.057047517417628,-1.0737871754227273,-1.0906366120935373,-1.107545391370565,-1.124461013973016,-1.1413294512327947,-1.1580950383607096,-1.174699948446603,-1.1910850115863902,-1.2071895554826766,-1.2229507402772704,-1.2383048172238509,-1.253186857279459,-1.267529924974764,-1.2812669232084017,-1.2943301378700756,-1.3066502676874703,-1.3181589622527523,-1.3287881116131939,-1.338468799163478,-1.347134545329426,-1.354720304881829,-1.3611614618638357,-1.3663973136940344,-1.3703707095356732,-1.3730272818684386,-1.374317105549866,-1.3741951380505824,-1.372622836609494,-1.3695677808810036,-1.365004407352699,-1.358915013694062,-1.3512902293581708,-1.3421293495202935,-1.3314413843029893,-1.3192445499018768,-1.305567268549801,-1.2904485733351678,-1.2739363795268521,-1.2560895577392706,-1.2369766336250199,-1.216675631479236,-1.1952725853902502,-1.1728622942419054,-1.1495462599847905,-1.125432445987784,-1.1133755389892808
-1.195816096791824,-1.1366952124409968,-1.0870693329673387,-1.0445919451310848,-1.0077307749598197,-0.9754313805819426,-0.9469418992022249,-0.921707036164135,-0.8993062240238298,-0.879413785058239,-0.8617731282521884,-0.846177982027374,-0.8324604018620924,-0.8204817771251122,-0.8101261975904661,-0.8012954973832087,-0.7939060223392608,-0.7878849208338395,-0.7831686269417937,-0.7797008778353515,-0.7774313664884042,-0.7763145882019442,-0.7763088482832636,-0.7773760374722757,-0.7794799474453065,-0.7825867986174156,-0.7866643698449124,-0.7916814865573426,-0.7976080170904787,-0.8044144547105753,-0.8120715738510996,-0.8205503890798466,-0.8298220120420786,-0.8398572592607851,-0.8506263503240036,-0.8620995851563735,-0.8742462775885619,-0.8870352251833303,-0.9004342844513504,-0.9144104458769928,-0.9289296369881954,-0.9439567066763542,-0.9594552660723156,-0.9753876637250483,-0.9917148644705983,-1.0083964032292252,-1.0253902151507233,-1.0426527192270356,-1.0601387659822756,-1.0778012890486466,-1.0955916033683537,-1.1134593150063181,-1.1313519306952484,-1.1492153063292458,-1.1669935405511866,-1.18462849624002,-1.2020605225745022,-1.219228299630648,-1.236068216450631,-1.252515528891776,-1.268504094725345,-1.2839655794443905,-1.2988312127771462,-1.3130313372961444,-1.3264944498403097,-1.3391496915869994,-1.3509261278123352,-1.361751682481338,-1.371556414759928,-1.3802714729064303,-1.387828034143579,-1.3941609284987388,-1.3992082332186184,-1.4029104374307155,-1.4052122446733706,-1.4060629130837554,-1.4054181219839479,-1.4032394474466692,-1.3994952295856844,-1.3941617299924491,-1.3872234654635829,-1.3786739350592825,-1.3685164462271637,-1.3567639331278247,-1.3434399698674993,-1.3285792148521214,-1.3122259412180037,-1.2944360601911509,-1.275275920106278,-1.2548222935409914,-1.2331609097320007,-1.2103872578520525,-1.18660452132332,-1.161923395184672,-1.149582832115359
-1.1690411700947645,-1.1107896914871351,-1.0619104877554186,-1.0200959006555321,-0.9838386766192475,-0.9521013567699466,-0.9241440145249524,-0.899420038496937,-0.8775153296916888,-0.8581091277979624,-0.8409486356044438,-0.825830560700544,-0.8125893200024409,-0.8010881933907782,-0.791212798633692,-0.7828662161580346,-0.7759658091841287,-0.7704395752277632,-0.766224654475664,-0.7632653797220085,-0.7615119516228064,-0.7609193044904344,-0.7614461307256737,-0.7630546600714522,-0.7657090035795899,-0.7693756726618983,-0.7740227234331043,-0.7796192533797166,-0.7861353975379667,-0.7935419173497729,-0.8018098619842678,-0.8109105272807803,-0.8208153150292441,-0.8314953444422423,-0.8429211556573113,-0.8550633729738257,-0.8678916553423448,-0.8813751540076514,-0.8954820946940923,-0.9101798452208454,-0.9254347216345052,-0.9412119649601144,-0.9574755842279531,-0.9741883226107362,-0.9913115355681783,-1.008805136234854,-1.0266274340421155,-1.0447351887566514,-1.0630835491146988,-1.08162574186077,-1.1003133056560033,-1.119095997775235,-1.1379214487272082,-1.15673552846898,-1.1754822404976495,-1.1941032905451343,-1.2125387123146758,-1.230726716541758,-1.248603114116395,-1.26610236954105,-1.2831573439523374,-1.2996985373928376,-1.3156557467326746,-1.3309576216679109,-1.3455307252769833,-1.3593019565807662,-1.372197827173799,-1.384143387780451,-1.3950655072506868,-1.4048917941250127,-1.4135494931422743,-1.4209692123277773,-1.4270844787072634,-1.4318308462756724,-1.4351478242266291,-1.4369791143754862,-1.4372747105819428,-1.4359902325920382,-1.4330879209933756,-1.4285379392239839,-1.4223185648156833,-1.4144173159699847,-1.404831536989859,-1.393568563355041,-1.380646736350566,-1.3660958850817972,-1.3499561531320703,-1.332279941424841,-1.3131308317611445,-1.2925837263814688,-1.2707234252416377,-1.2476454692722183,-1.2234540995775922,-1.1982621387854553,-1.1856661583893924
-1.1428787657420114,-1.0855031478021249,-1.0373775413855146,-0.9962326756948581,-0.9605860134950461,-0.929416867715227,-0.9019970943274058,-0.8777886484505393,-0.8563838080511199,-0.8374666567874445,-0.8207881313077703,-0.8061478687194951,-0.7933826059994653,-0.7823574789688342,-0.7729596045280479,-0.7650932854411957,-0.7586768827052837,-0.7536392270935388,-0.7499181524482756,-0.7474585777958676,-0.7462112048652464,-0.7461314029023641,-0.7471782496183493,-0.7493143142083963,-0.7525040293644425,-0.7567142016724787,-0.7619131703799811,-0.7680703124570295,-0.775156038628666,-0.7831413889616695,-0.7919976992219787,-0.8016965598421646,-0.8122096775026427,-0.8235084904118131,-0.8355638770112451,-0.848346805633602,-0.8618273016680673,-0.8759748935708147,-0.8907582018970169,-0.9061450001082936,-0.9221020237204546,-0.9385949402011716,-0.9555881941420951,-0.9730449651805372,-0.990927045606,-1.0091947781001815,-1.027806902427903,-1.046720581986779,-1.0658913341286935,-1.085272754510294,-1.1048166905371513,-1.1244731452215926,-1.1441899750127076,-1.1639131771775835,-1.1835867845501724,-1.2031524807065264,-1.2225501309882396,-1.2417176363776066,-1.2605904027658987,-1.2791022879937608,-1.2971853539303413,-1.314769148755851,-1.3317822582678995,-1.3481518721584707,-1.363802870137898,-1.3786601603351378,-1.3926479587624996,-1.4056887170525056,-1.417706376629252,-1.4286252682698453,-1.4383689762703877,-1.4468641344010713,-1.4540399481147492,-1.4598272557473757,-1.4641605644505562,-1.4669781839332596,-1.4682245402215355,-1.4678493745876375,-1.4658088596387064,-1.462067036111253,-1.4565958584832006,-1.4493767218502596,-1.4404007933602303,-1.4296695384103053,-1.4171957254245027,-1.4030039435738884,-1.3871297581150022,-1.3696215442826842,-1.3505395589214708,-1.3299562392495967,-1.3079548483718062,-1.2846303501810707,-1.260087422316114,-1.234440405762105,-1.2216168974850894
-1.1173145617255575,-1.0608198923951595,-1.0134534633173264,-0.9729839269722207,-0.9379531623921078,-0.9073570475867654,-0.8804790722114986,-0.8567896461237123,-0.8358873378768616,-0.8174610068183763,-0.8012652686607946,-0.7871026454615571,-0.7748121578533912,-0.7642607678503971,-0.7553370672657989,-0.7479465616670983,-0.7420085944170096,-0.7374528175983192,-0.7342177499117253,-0.732248890590334,-0.7314974388828749,-0.731919197626113,-0.7334736304610068,-0.7361236485513095,-0.7398340102047818,-0.7445718227194281,-0.7503057153482567,-0.7570053525990424,-0.764641430128847,-0.7731852769528355,-0.7826085267782847,-0.7928830770397562,-0.8039809527416925,-0.8158739256566113,-0.8285332281179016,-0.8419301895468974,-0.8560352200267262,-0.8708182452093871,-0.8862483020634984,-0.90229359343851,-0.9189213001749171,-0.9360975448183216,-0.9537872389243746,-0.971954033543278,-0.9905601964607437,-1.0095665430114278,-1.0289322904254752,-1.0486150589211283,-1.068570794428296,-1.0887535260993633,-1.1091154831213188,-1.1296069960037445,-1.1501762356180236,-1.1707694254475125,-1.1913307371214723,-1.211801950996949,-1.2321228947686058,-1.2522313024116216,-1.272062330086579,-1.2915493960223012,-1.310623942542305,-1.3292147610508647,-1.3472494307041032,-1.364653897389262,-1.381351590820168,-1.3972656648034987,-1.4123182847923854,-1.4264295649947578,-1.439520773385078,-1.4515132187706115,-1.46232709289576,-1.4718853032087698,-1.4801129666235702,-1.486936433458086,-1.4922854131540542,-1.4960930049703003,-1.4982982062001882,-1.4988449841507934,-1.4976835057459004,-1.4947716983326809,-1.4900751487220532,-1.4835690260939172,-1.4752381501750622,-1.4650778879874649,-1.453095138267324,-1.43930888287368,-1.4237496984534692,-1.406461455386021,-1.3875005592207112,-1.3669364133683803,-1.3448501556928338,-1.3213355568202023,-1.2964971153841542,-1.2704500794835316,-1.2574265615332092
