0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-2.5,-2.4054476429347407,-2.3213892806938823,-2.246752289102244,-2.1804792503172163,-2.1215813856672425,-2.0691630180613028,-2.022428618131298,-1.9806801062465103,-1.9433093101972077,-1.9097884396326055,-1.8796602023958477,-1.85252845931026,-1.828049719753938,-1.8059256529608052,-1.7858966006952268,-1.7677360123185681,-1.7512457038490048,-1.7362518490385581,-1.7226015548059714,-1.710159968013923,-1.6988078365334465,-1.6884394287359248,-1.6789607608894224,-1.670288086467258,-1.662346612420993,-1.6550693942194439,-1.6483963857826924,-1.6422736190082143,-1.636652493013532,-1.6314891729968235,-1.6267440548498446,-1.6223812957613981,-1.6183684124063764,-1.6146759246479545,-1.6112770432410466,-1.6081473943130025,-1.6052647775125428,-1.602608950476614,-1.6001614370729436,-1.5979053590912067,-1.5958252840727534,-1.5939070909725241,-1.5921378478469557,-1.5905057049488402,-1.588999796152036,-1.587610151965406,-1.586327620288643,-1.5851437948289557,-1.584050951125527,-1.5830419876160375,-1.582110373097212,-1.5812500983425333,-1.5804556325832668,-1.579721883719781,-1.5790441620331706,-1.5784181472942664,-1.577839858454948,-1.577305626289067,-1.5768120680940287
-2.4899799599198396,-2.3965308839221913,-2.31346955085341,-2.2397213059625747,-2.174233807193028,-2.116026905800066,-2.0642148976728234,-2.0180122940973333,-1.9767304547618272,-1.9397697423789766,-1.9066099055096781,-1.8768002173035951,-1.8499502050341985,-1.8257212447533102,-1.803819175112106,-1.7839879071267681,-1.7660039469694753,-1.7496717319115522,-1.734819687799485,-1.7212968605309171,-1.7089700709002296,-1.6977215157358605,-1.6874467211167599,-1.6780527981684297,-1.6694569562772206,-1.6615852392884596,-1.6543714374161158,-1.6477561514271761,-1.6416859842486045,-1.6361128404755796,-1.6309933336893698,-1.6262882585098801,-1.6219621275988654,-1.6179827751816498,-1.6143210054018955,-1.6109502840203798,-1.60784646635359,-1.6049875583879698,-1.6023535038487409,-1.5999259947160571,-1.5976883048610915,-1.5956251396152974,-1.5937225029312398,-1.5919675764243573,-1.5903486136141982,-1.5888548424048983,-1.5874763790048583,-1.58620414950114,-1.5850298190042302,-1.5839457283094758,-1.5829448355484634,-1.5820206641590393,-1.5811672549701148,-1.5803791230952202,-1.579651218517811,-1.5789788901403436,-1.5783578531951639,-1.5777841592125732,-1.5772541689076418,-1.5767645271086284
-2.4799599198396796,-2.387616594502362,-2.305552838902391,-2.2326928836732973,-2.1679900238480383,-2.1104730621553336,-2.0592664374598066,-2.013594780924345,-1.972778919096605,-1.9362277495023676,-1.903428546024927,-1.8739371280545465,-1.8473686692037354,-1.8233893932238385,-1.8017092913179025,-1.7820758293020813,-1.7642685580741124,-1.7480945262304461,-1.7333844036422839,-1.719989168729347,-1.7077773110918566,-1.696632472481815,-1.6864514335459695,-1.677142397853291,-1.668623528871125,-1.6608217059736892,-1.6536714531279282,-1.647114017251052,-1.6410965718355035,-1.6355715266724207,-1.6304959435874087,-1.6258310158996594,-1.6215416117985182,-1.617595883177418,-1.6139649186246252,-1.6106224391040949,-1.6075445293414605,-1.604709401895556,-1.6020971868226992,-1.5996897444613076,-1.597470501009254,-1.5954242998296124,-1.593537270108317,-1.5917967072480104,-1.5901909682546995,-1.5887093752731087,-1.5873421304117146,-1.5860802381354437,-1.5849154351384322,-1.5838401276425778,-1.582847333633912,-1.5819306313423909,-1.581084111794091,-1.5803023361176674,-1.579580296504033,-1.578913380593284,-1.5782973391878843,-1.5777282564978887,-1.577202523274061,-1.5767168119635222
-2.469939879759519,-2.378704619463714,-2.2976389003906816,-2.2256667333905975,-2.1617475954793752,-2.1049195509841088,-2.054317344298915,-2.0091758010531473,-1.9688252394117218,-1.932683089989285,-1.9002441375024068,-1.871070728045418,-1.8447836612387318,-1.8210539894825484,-1.7995958396695424,-1.7801602180089944,-1.7625297081039688,-1.7465139600205868,-1.7319458796591738,-1.7186783715755811,-1.706581589116415,-1.6955406149848855,-1.6854534813121012,-1.6762294817478323,-1.6677877320550847,-1.6600559458145683,-1.6529693797926617,-1.6464699263952887,-1.6405053292484206,-1.6350285030867033,-1.6299969578680495,-1.6253722856065345,-1.6211197100961277,-1.6172077010365806,-1.6136076316437238,-1.6102934782993106,-1.6072415553740353,-1.6044302822484227,-1.6018399755661679,-1.599452664282191,-1.5972519271776886,-1.595222745899397,-1.5933513751120711,-1.5916252242427076,-1.590032754011731,-1.5885633810223814,-1.58720739349078,-1.5859558744567002,-1.5848006323842907,-1.5837341390979176,-1.5827494726037015,-1.5818402660794155,-1.581000660894394,-1.5802252643293013,-1.5795091109105936,-1.5788476271357195,-1.5782365994890388,-1.5776721449646223,-1.5771506844461112,-1.5766689180900006
-2.4599198396793587,-2.3697948040791093,-2.2897274918468122,-2.218642567492604,-2.1555062185062943,-2.0993660695981995,-2.049367325884199,-2.0047550774736345,-1.9648691561584968,-1.9291355223211604,-1.8970564561298842,-1.8682008103770178,-1.8421949901374752,-1.818714857329395,-1.7974786576717012,-1.7782409234007501,-1.76078725886586,-1.7449299058165464,-1.7305039982578934,-1.7173643605643454,-1.7053828048338011,-1.6944458508081113,-1.684452779074257,-1.6753139710503158,-1.6669494930554118,-1.6592878915961002,-1.6522651553227086,-1.6458238215030814,-1.639912203496479,-1.634483720757568,-1.6294963312910618,-1.6249120258258234,-1.6206963838597679,-1.6168181930576369,-1.6132491114645828,-1.6099633711120622,-1.6069375162676491,-1.6041501733974979,-1.6015818460024516,-1.5992147319245975,-1.5970325627965363,-1.5950204588112749,-1.5931648003675851,-1.5914531111629617,-1.589873955868504,-1.5884168457715573,-1.587072155410529,-1.5858310466035543,-1.584685399777189,-1.5836277525397564,-1.5826512430882576,-1.5817495597087419,-1.5809168942642875,-1.5801479003285104,-1.579437654895246,-1.5787816234424739,-1.5781756282514268,-1.577615819207414,-1.577098647426872,-1.5766208408687092
-2.4498997995991982,-2.3608869941110195,-2.2818183707661643,-2.2116200995479303,-2.149265590523547,-2.0938123163139597,-2.044416090665941,-2.0003323336619077,-1.960910410016205,-1.9255848049781212,-1.8938652779003688,-1.8653271677985133,-1.8396024644238334,-1.8163718199973369,-1.7953575821953323,-1.776317794951746,-1.7590410714603593,-1.7433422354335721,-1.7290586411251534,-1.7160470264765537,-1.7041808574041848,-1.6933480868340707,-1.683449240834141,-1.6743957863273458,-1.6661087384942765,-1.6585174755277114,-1.6515587170839277,-1.6451756447001646,-1.6393171411000849,-1.6339371302635946,-1.628994018183018,-1.6244501943460714,-1.6202715940761216,-1.6164273231819657,-1.6128893247585947,-1.60963208673634,-1.606632383547377,-1.603869049022085,-1.601322773801733,-1.5989759248987008,-1.596812387076567,-1.5948174193478255,-1.5929775281102514,-1.5912803515870202,-1.5897145586445103,-1.5882697554874694,-1.5869364031983526,-1.5857057425837475,-1.5845697262310885,-1.583520957719758,-1.5825526356136166,-1.5816585034722426,-1.5808328038073727,-1.5800702366306103,-1.5793659215387896,-1.5787153631170943,-1.5781144195618406,-1.5775592737597846,-1.5770464071628372,-1.5765725756279112
-2.4398797595190382,-2.351981035816739,-2.273911295599393,-2.204599044284752,-2.1430254102554938,-2.0882579903968934,-2.0394633477902726,-1.995907293518094,-1.9569487418301539,-1.922030696378575,-1.8906703785539274,-1.862449592651848,-1.837005892094452,-1.8140247001023595,-1.7932324494304912,-1.774390681413095,-1.757291006239999,-1.7417508199283243,-1.7276096891897996,-1.7147262593447814,-1.7029756452556781,-1.6922472292346318,-1.6824427799077826,-1.673474847487456,-1.6652653943650504,-1.6577446292202531,-1.6508500018742047,-1.6445253375748337,-1.638720088072328,-1.633388681705491,-1.6284899724211894,-1.6239867485340767,-1.6198453013365626,-1.616035054980895,-1.612528237851143,-1.6092995940429384,-1.6063261284366863,-1.6035868825202568,-1.601062734372162,-1.598736220470693,-1.596591379001517,-1.5946136080804818,-1.5927895403791898,-1.591106928910768,-1.5895545469898729,-1.5881220959797098,-1.58680012373571,-1.585579950269629,-1.5844536005343726,-1.5834137442731422,-1.5824536405978664,-1.5815670885117388,-1.5807483813345375,-1.5799922656650194,-1.5792939038424543,-1.5786488396894331,-1.5780529674388286,-1.5775025030920673,-1.5769939585420014,-1.5765241176417164
-2.429859719438878,-2.3430767759536075,-2.2660060257411008,-2.1975791175604242,-2.136785377510933,-2.0827027920070424,-2.034508807039524,-1.9914796813047815,-1.9529838925502374,-1.9184729548191317,-1.8874715335196985,-1.8595678768162474,-1.8344050805659358,-1.8116733195933994,-1.791103094838994,-1.772459430767962,-1.7555369227672086,-1.7401555295593187,-1.7261570225856617,-1.7134019484184102,-1.7017670660516708,-1.6911431834403694,-1.6814333088969253,-1.6725510737543663,-1.6644193860073304,-1.6569692836626895,-1.6501389459017108,-1.6438728411576813,-1.6381209899001075,-1.632838324688521,-1.627984147417195,-1.6235216453196817,-1.619417465823017,-1.6156413516425645,-1.6121658167094,-1.608965861568125,-1.606018721846917,-1.6033036469990962,-1.600801702850802,-1.5984955956543898,-1.5963695173203039,-1.5944090053623128,-1.5926008190105587,-1.5909328263415283,-1.5893939053796033,-1.5879738528953091,-1.5866633037532019,-1.5854536573935925,-1.584337011345621,-1.583306101714772,-1.5823542483475237,-1.581475305865648,-1.580663618560855,-1.5799139797723891,-1.5792215947252468,-1.5785820466131928,-1.5779912658304223,-1.5774455016093034,-1.576941296391913,-1.576475462128281
-2.4198396793587174,-2.3341740617842683,-2.258102321518786,-2.1905600363316395,-2.130545193138652,-2.077146422145148,-2.0295521787733093,-1.987049221586092,-1.9490156031699926,-1.914911338414884,-1.884268517858127,-1.8566818116528119,-1.831799836622012,-1.8093174997021586,-1.788969353106891,-1.7705238901866616,-1.7537786797719679,-1.7385562337470577,-1.7247005206140626,-1.7120739821284232,-1.7005550166578063,-1.6900358541096194,-1.6804207396600588,-1.67162438363989,-1.6635706380816198,-1.6561913691984564,-1.6494254847628411,-1.6432180959010263,-1.6375197915249562,-1.6322860083046469,-1.6274764961003787,-1.6230548411803098,-1.618988047293583,-1.6152461759585568,-1.6118020269299038,-1.608630857502103,-1.6057101343665712,-1.6030193152647536,-1.6005396540944046,-1.5982540272026713,-1.596146780539089,-1.5942035913206647,-1.5924113456307325,-1.59075802689174,-1.5892326181077419,-1.58782501171331,-1.5865259298255425,-1.58532685154342,-1.5842199471892981,-1.5831980194351611,-1.5822544490538388,-1.581383146465563,-1.5805785071024159,-1.5798353712016726,-1.5791489870212372,-1.5785149772634128,-1.577929308611813,-1.577388263649094,-1.5768884154776863,-1.5764266042479689
-2.409819639278557,-2.32527274108193,-2.2501999441820417,-2.183541518625116,-2.1243045589836833,-2.071588582599556,-2.024593173870308,-1.9826156391673293,-1.9450436146660959,-1.9113456050399829,-1.8810611062033613,-1.85379118794916,-1.8291899663606364,-1.806957060892778,-1.786831058096731,-1.768583905981489,-1.7520161351091552,-1.7369528010338198,-1.723240061705972,-1.7107422480518275,-1.6993393931085794,-1.6889251450971554,-1.6794049832830737,-1.6706946949164685,-1.662719074543644,-1.6554108155014653,-1.6487095534198146,-1.642561041658016,-1.636916437323564,-1.6317316811143818,-1.6269669709009131,-1.62258629212524,-1.6185570050679041,-1.6148494903102992,-1.611436833725923,-1.6082945496772723,-1.60540033625041,-1.6027338598123264,-1.6002765626700166,-1.5980114915987673,-1.5959231469131954,-1.593997345849666,-1.5922211016493535,-1.5905825133725173,-1.5890706692813905,-1.5876755577392347,-1.5863879883664367,-1.5851995201575366,-1.5841023964513594,-1.5830894866964065,-1.582154232789028,-1.5812906011327628,-1.5804930384731002,-1.5797564321071347,-1.5790760734767912,-1.578447624933911,-1.5778670895829818,-1.5773307834794064,-1.5768353104999735,-1.5763775391014736
